Employee ID,Total No of Employees,Job Level before FY20 promotions,Job Level after FY20 promotions,Job Level after FY21 promotions,Total Promotion,FY19 Performance Rating,FY20 Performance Rating
1,1, Junior Officer, Junior Officer,Resigned,0,3,2
1,, Junior Officer, Senior Officer, Manager,0,,
1,, Junior Officer, Senior Officer, Senior Officer,0,,
1,, Manager, Manager, Manager,0,,
1,, Manager, Manager, Senior Manager,0,,
1,, Manager, Manager,Resigned,0,,
1,, Manager, Senior Manager, Director,0,,
1,, Manager, Senior Manager, Senior Manager,0,,
1,, Senior Manager, Director, Director,0,,
1,, Senior Manager, Senior Manager, Director,0,,
1,, Senior Manager, Senior Manager, Senior Manager,0,,
1,, Senior Manager, Senior Manager,Resigned,0,,
1,, Senior Officer, Manager, Manager,0,,
1,, Senior Officer, Manager, Senior Manager,0,,
1,, Senior Officer, Senior Officer, Manager,0,,
1,, Senior Officer, Senior Officer, Senior Officer,0,,
1,, Senior Officer, Senior Officer,Resigned,0,,
1,,Newly Hired, Director, Director,0,,
1,,Newly Hired, Executive, Executive,0,,
1,,Newly Hired, Junior Officer, Junior Officer,0,,
1,,Newly Hired, Manager, Manager,0,,
1,,Newly Hired, Senior Manager, Senior Manager,0,,
1,,Newly Hired, Senior Officer, Senior Officer,0,,
2,, Director, Director, Director,0,,
2,, Director, Director, Executive,0,,
2,, Director, Director,Resigned,0,,
2,, Director, Executive, Executive,0,,
2,, Executive, Executive, Executive,0,,
2,, Executive, Executive,Resigned,0,,
2,, Junior Officer, Junior Officer, Junior Officer,0,,
2,, Junior Officer, Junior Officer, Senior Officer,0,,
2,, Junior Officer, Junior Officer,Resigned,0,,
2,, Junior Officer, Senior Officer, Manager,0,,
2,, Junior Officer, Senior Officer, Senior Officer,0,,
2,1, Manager, Manager, Manager,0,,3
2,, Manager, Manager, Senior Manager,0,,
2,, Manager, Manager,Resigned,0,,
2,, Manager, Senior Manager, Director,0,,
2,, Manager, Senior Manager, Senior Manager,0,,
2,, Senior Manager, Director, Director,0,,
2,, Senior Manager, Senior Manager, Director,0,,
2,, Senior Manager, Senior Manager, Senior Manager,0,,
2,, Senior Manager, Senior Manager,Resigned,0,,
2,, Senior Officer, Manager, Manager,0,,
2,, Senior Officer, Manager, Senior Manager,0,,
2,, Senior Officer, Senior Officer, Manager,0,,
2,, Senior Officer, Senior Officer, Senior Officer,0,,
2,, Senior Officer, Senior Officer,Resigned,0,,
2,,Newly Hired, Director, Director,0,,
2,,Newly Hired, Executive, Executive,0,,
2,,Newly Hired, Junior Officer, Junior Officer,0,,
2,,Newly Hired, Manager, Manager,0,,
2,,Newly Hired, Senior Manager, Senior Manager,0,,
2,,Newly Hired, Senior Officer, Senior Officer,0,,
3,1, Director, Director, Director,0,3,2
3,, Director, Director, Executive,0,,
3,, Director, Director,Resigned,0,,
3,, Director, Executive, Executive,0,,
3,, Executive, Executive, Executive,0,,
3,, Executive, Executive,Resigned,0,,
3,, Junior Officer, Junior Officer, Junior Officer,0,,
3,, Junior Officer, Junior Officer, Senior Officer,0,,
3,, Junior Officer, Junior Officer,Resigned,0,,
3,, Junior Officer, Senior Officer, Manager,0,,
3,, Junior Officer, Senior Officer, Senior Officer,0,,
3,, Manager, Manager, Manager,0,,
3,, Manager, Manager, Senior Manager,0,,
3,, Manager, Manager,Resigned,0,,
3,, Manager, Senior Manager, Director,0,,
3,, Manager, Senior Manager, Senior Manager,0,,
3,, Senior Manager, Director, Director,0,,
3,, Senior Manager, Senior Manager, Director,0,,
3,, Senior Manager, Senior Manager, Senior Manager,0,,
3,, Senior Manager, Senior Manager,Resigned,0,,
3,, Senior Officer, Manager, Manager,0,,
3,, Senior Officer, Manager, Senior Manager,0,,
3,, Senior Officer, Senior Officer, Manager,0,,
3,, Senior Officer, Senior Officer, Senior Officer,0,,
3,, Senior Officer, Senior Officer,Resigned,0,,
3,,Newly Hired, Director, Director,0,,
3,,Newly Hired, Executive, Executive,0,,
3,,Newly Hired, Junior Officer, Junior Officer,0,,
3,,Newly Hired, Manager, Manager,0,,
3,,Newly Hired, Senior Manager, Senior Manager,0,,
3,,Newly Hired, Senior Officer, Senior Officer,0,,
4,, Director, Director, Director,0,,
4,, Director, Director, Executive,0,,
4,, Director, Director,Resigned,0,,
4,, Director, Executive, Executive,0,,
4,, Executive, Executive, Executive,0,,
4,, Executive, Executive,Resigned,0,,
4,, Junior Officer, Junior Officer, Junior Officer,0,,
4,, Junior Officer, Junior Officer, Senior Officer,0,,
4,, Junior Officer, Junior Officer,Resigned,0,,
4,, Junior Officer, Senior Officer, Manager,0,,
4,, Junior Officer, Senior Officer, Senior Officer,0,,
4,1, Manager, Manager, Manager,0,3,3
4,, Manager, Manager, Senior Manager,0,,
4,, Manager, Manager,Resigned,0,,
4,, Manager, Senior Manager, Director,0,,
4,, Manager, Senior Manager, Senior Manager,0,,
4,, Senior Manager, Director, Director,0,,
4,, Senior Manager, Senior Manager, Director,0,,
4,, Senior Manager, Senior Manager, Senior Manager,0,,
4,, Senior Manager, Senior Manager,Resigned,0,,
4,, Senior Officer, Manager, Manager,0,,
4,, Senior Officer, Manager, Senior Manager,0,,
4,, Senior Officer, Senior Officer, Manager,0,,
4,, Senior Officer, Senior Officer, Senior Officer,0,,
4,, Senior Officer, Senior Officer,Resigned,0,,
4,,Newly Hired, Director, Director,0,,
4,,Newly Hired, Executive, Executive,0,,
4,,Newly Hired, Junior Officer, Junior Officer,0,,
4,,Newly Hired, Manager, Manager,0,,
4,,Newly Hired, Senior Manager, Senior Manager,0,,
4,,Newly Hired, Senior Officer, Senior Officer,0,,
5,, Director, Director, Director,0,,
5,, Director, Director, Executive,0,,
5,, Director, Director,Resigned,0,,
5,, Director, Executive, Executive,0,,
5,, Executive, Executive, Executive,0,,
5,, Executive, Executive,Resigned,0,,
5,1, Junior Officer, Junior Officer, Junior Officer,0,,2
5,, Junior Officer, Junior Officer, Senior Officer,0,,
5,, Junior Officer, Junior Officer,Resigned,0,,
5,, Junior Officer, Senior Officer, Manager,0,,
5,, Junior Officer, Senior Officer, Senior Officer,0,,
5,, Manager, Manager, Manager,0,,
5,, Manager, Manager, Senior Manager,0,,
5,, Manager, Manager,Resigned,0,,
5,, Manager, Senior Manager, Director,0,,
5,, Manager, Senior Manager, Senior Manager,0,,
5,, Senior Manager, Director, Director,0,,
5,, Senior Manager, Senior Manager, Director,0,,
5,, Senior Manager, Senior Manager, Senior Manager,0,,
5,, Senior Manager, Senior Manager,Resigned,0,,
5,, Senior Officer, Manager, Manager,0,,
5,, Senior Officer, Manager, Senior Manager,0,,
5,, Senior Officer, Senior Officer, Manager,0,,
5,, Senior Officer, Senior Officer, Senior Officer,0,,
5,, Senior Officer, Senior Officer,Resigned,0,,
5,,Newly Hired, Director, Director,0,,
5,,Newly Hired, Executive, Executive,0,,
5,,Newly Hired, Junior Officer, Junior Officer,0,,
5,,Newly Hired, Manager, Manager,0,,
5,,Newly Hired, Senior Manager, Senior Manager,0,,
5,,Newly Hired, Senior Officer, Senior Officer,0,,
6,, Director, Director, Director,0,,
6,, Director, Director, Executive,0,,
6,, Director, Director,Resigned,0,,
6,, Director, Executive, Executive,0,,
6,, Executive, Executive, Executive,0,,
6,, Executive, Executive,Resigned,0,,
6,, Junior Officer, Junior Officer, Junior Officer,0,,
6,, Junior Officer, Junior Officer, Senior Officer,0,,
6,, Junior Officer, Junior Officer,Resigned,0,,
6,, Junior Officer, Senior Officer, Manager,0,,
6,, Junior Officer, Senior Officer, Senior Officer,0,,
6,, Manager, Manager, Manager,0,,
6,, Manager, Manager, Senior Manager,0,,
6,, Manager, Manager,Resigned,0,,
6,, Manager, Senior Manager, Director,0,,
6,, Manager, Senior Manager, Senior Manager,0,,
6,, Senior Manager, Director, Director,0,,
6,, Senior Manager, Senior Manager, Director,0,,
6,, Senior Manager, Senior Manager, Senior Manager,0,,
6,, Senior Manager, Senior Manager,Resigned,0,,
6,, Senior Officer, Manager, Manager,0,,
6,, Senior Officer, Manager, Senior Manager,0,,
6,, Senior Officer, Senior Officer, Manager,0,,
6,, Senior Officer, Senior Officer, Senior Officer,0,,
6,, Senior Officer, Senior Officer,Resigned,0,,
6,,Newly Hired, Director, Director,0,,
6,,Newly Hired, Executive, Executive,0,,
6,,Newly Hired, Junior Officer, Junior Officer,0,,
6,1,Newly Hired, Manager, Manager,0,,
6,,Newly Hired, Senior Manager, Senior Manager,0,,
6,,Newly Hired, Senior Officer, Senior Officer,0,,
7,, Director, Director, Director,0,,
7,, Director, Director, Executive,0,,
7,, Director, Director,Resigned,0,,
7,, Director, Executive, Executive,0,,
7,, Executive, Executive, Executive,0,,
7,, Executive, Executive,Resigned,0,,
7,, Junior Officer, Junior Officer, Junior Officer,0,,
7,, Junior Officer, Junior Officer, Senior Officer,0,,
7,, Junior Officer, Junior Officer,Resigned,0,,
7,, Junior Officer, Senior Officer, Manager,0,,
7,, Junior Officer, Senior Officer, Senior Officer,0,,
7,, Manager, Manager, Manager,0,,
7,, Manager, Manager, Senior Manager,0,,
7,, Manager, Manager,Resigned,0,,
7,, Manager, Senior Manager, Director,0,,
7,, Manager, Senior Manager, Senior Manager,0,,
7,, Senior Manager, Director, Director,0,,
7,, Senior Manager, Senior Manager, Director,0,,
7,, Senior Manager, Senior Manager, Senior Manager,0,,
7,, Senior Manager, Senior Manager,Resigned,0,,
7,, Senior Officer, Manager, Manager,0,,
7,, Senior Officer, Manager, Senior Manager,0,,
7,, Senior Officer, Senior Officer, Manager,0,,
7,, Senior Officer, Senior Officer, Senior Officer,0,,
7,, Senior Officer, Senior Officer,Resigned,0,,
7,,Newly Hired, Director, Director,0,,
7,,Newly Hired, Executive, Executive,0,,
7,,Newly Hired, Junior Officer, Junior Officer,0,,
7,,Newly Hired, Manager, Manager,0,,
7,1,Newly Hired, Senior Manager, Senior Manager,0,,
7,,Newly Hired, Senior Officer, Senior Officer,0,,
8,, Director, Director, Director,0,,
8,, Director, Director, Executive,0,,
8,, Director, Director,Resigned,0,,
8,, Director, Executive, Executive,0,,
8,, Executive, Executive, Executive,0,,
8,, Executive, Executive,Resigned,0,,
8,, Junior Officer, Junior Officer, Junior Officer,0,,
8,, Junior Officer, Junior Officer, Senior Officer,0,,
8,, Junior Officer, Junior Officer,Resigned,0,,
8,, Junior Officer, Senior Officer, Manager,0,,
8,, Junior Officer, Senior Officer, Senior Officer,0,,
8,, Manager, Manager, Manager,0,,
8,, Manager, Manager, Senior Manager,0,,
8,, Manager, Manager,Resigned,0,,
8,, Manager, Senior Manager, Director,0,,
8,, Manager, Senior Manager, Senior Manager,0,,
8,, Senior Manager, Director, Director,0,,
8,, Senior Manager, Senior Manager, Director,0,,
8,, Senior Manager, Senior Manager, Senior Manager,0,,
8,, Senior Manager, Senior Manager,Resigned,0,,
8,, Senior Officer, Manager, Manager,0,,
8,, Senior Officer, Manager, Senior Manager,0,,
8,, Senior Officer, Senior Officer, Manager,0,,
8,1, Senior Officer, Senior Officer, Senior Officer,0,3,2
8,, Senior Officer, Senior Officer,Resigned,0,,
8,,Newly Hired, Director, Director,0,,
8,,Newly Hired, Executive, Executive,0,,
8,,Newly Hired, Junior Officer, Junior Officer,0,,
8,,Newly Hired, Manager, Manager,0,,
8,,Newly Hired, Senior Manager, Senior Manager,0,,
8,,Newly Hired, Senior Officer, Senior Officer,0,,
9,, Director, Director, Director,0,,
9,, Director, Director, Executive,0,,
9,, Director, Director,Resigned,0,,
9,, Director, Executive, Executive,0,,
9,, Executive, Executive, Executive,0,,
9,, Executive, Executive,Resigned,0,,
9,1, Junior Officer, Junior Officer, Junior Officer,0,,3
9,, Junior Officer, Junior Officer, Senior Officer,0,,
9,, Junior Officer, Junior Officer,Resigned,0,,
9,, Junior Officer, Senior Officer, Manager,0,,
9,, Junior Officer, Senior Officer, Senior Officer,0,,
9,, Manager, Manager, Manager,0,,
9,, Manager, Manager, Senior Manager,0,,
9,, Manager, Manager,Resigned,0,,
9,, Manager, Senior Manager, Director,0,,
9,, Manager, Senior Manager, Senior Manager,0,,
9,, Senior Manager, Director, Director,0,,
9,, Senior Manager, Senior Manager, Director,0,,
9,, Senior Manager, Senior Manager, Senior Manager,0,,
9,, Senior Manager, Senior Manager,Resigned,0,,
9,, Senior Officer, Manager, Manager,0,,
9,, Senior Officer, Manager, Senior Manager,0,,
9,, Senior Officer, Senior Officer, Manager,0,,
9,, Senior Officer, Senior Officer, Senior Officer,0,,
9,, Senior Officer, Senior Officer,Resigned,0,,
9,,Newly Hired, Director, Director,0,,
9,,Newly Hired, Executive, Executive,0,,
9,,Newly Hired, Junior Officer, Junior Officer,0,,
9,,Newly Hired, Manager, Manager,0,,
9,,Newly Hired, Senior Manager, Senior Manager,0,,
9,,Newly Hired, Senior Officer, Senior Officer,0,,
10,, Director, Director, Director,0,,
10,, Director, Director, Executive,0,,
10,, Director, Director,Resigned,0,,
10,, Director, Executive, Executive,0,,
10,, Executive, Executive, Executive,0,,
10,, Executive, Executive,Resigned,0,,
10,1, Junior Officer, Junior Officer, Junior Officer,0,3,3
10,, Junior Officer, Junior Officer, Senior Officer,0,,
10,, Junior Officer, Junior Officer,Resigned,0,,
10,, Junior Officer, Senior Officer, Manager,0,,
10,, Junior Officer, Senior Officer, Senior Officer,0,,
10,, Manager, Manager, Manager,0,,
10,, Manager, Manager, Senior Manager,0,,
10,, Manager, Manager,Resigned,0,,
10,, Manager, Senior Manager, Director,0,,
10,, Manager, Senior Manager, Senior Manager,0,,
10,, Senior Manager, Director, Director,0,,
10,, Senior Manager, Senior Manager, Director,0,,
10,, Senior Manager, Senior Manager, Senior Manager,0,,
10,, Senior Manager, Senior Manager,Resigned,0,,
10,, Senior Officer, Manager, Manager,0,,
10,, Senior Officer, Manager, Senior Manager,0,,
10,, Senior Officer, Senior Officer, Manager,0,,
10,, Senior Officer, Senior Officer, Senior Officer,0,,
10,, Senior Officer, Senior Officer,Resigned,0,,
10,,Newly Hired, Director, Director,0,,
10,,Newly Hired, Executive, Executive,0,,
10,,Newly Hired, Junior Officer, Junior Officer,0,,
10,,Newly Hired, Manager, Manager,0,,
10,,Newly Hired, Senior Manager, Senior Manager,0,,
10,,Newly Hired, Senior Officer, Senior Officer,0,,
11,, Director, Director, Director,0,,
11,, Director, Director, Executive,0,,
11,, Director, Director,Resigned,0,,
11,, Director, Executive, Executive,0,,
11,, Executive, Executive, Executive,0,,
11,, Executive, Executive,Resigned,0,,
11,, Junior Officer, Junior Officer, Junior Officer,0,,
11,, Junior Officer, Junior Officer, Senior Officer,0,,
11,, Junior Officer, Junior Officer,Resigned,0,,
11,, Junior Officer, Senior Officer, Manager,0,,
11,, Junior Officer, Senior Officer, Senior Officer,0,,
11,1, Manager, Manager, Manager,0,2,3
11,, Manager, Manager, Senior Manager,0,,
11,, Manager, Manager,Resigned,0,,
11,, Manager, Senior Manager, Director,0,,
11,, Manager, Senior Manager, Senior Manager,0,,
11,, Senior Manager, Director, Director,0,,
11,, Senior Manager, Senior Manager, Director,0,,
11,, Senior Manager, Senior Manager, Senior Manager,0,,
11,, Senior Manager, Senior Manager,Resigned,0,,
11,, Senior Officer, Manager, Manager,0,,
11,, Senior Officer, Manager, Senior Manager,0,,
11,, Senior Officer, Senior Officer, Manager,0,,
11,, Senior Officer, Senior Officer, Senior Officer,0,,
11,, Senior Officer, Senior Officer,Resigned,0,,
11,,Newly Hired, Director, Director,0,,
11,,Newly Hired, Executive, Executive,0,,
11,,Newly Hired, Junior Officer, Junior Officer,0,,
11,,Newly Hired, Manager, Manager,0,,
11,,Newly Hired, Senior Manager, Senior Manager,0,,
11,,Newly Hired, Senior Officer, Senior Officer,0,,
12,, Director, Director, Director,0,,
12,, Director, Director, Executive,0,,
12,, Director, Director,Resigned,0,,
12,, Director, Executive, Executive,0,,
12,, Executive, Executive, Executive,0,,
12,, Executive, Executive,Resigned,0,,
12,, Junior Officer, Junior Officer, Junior Officer,0,,
12,, Junior Officer, Junior Officer,Resigned,0,,
12,, Junior Officer, Senior Officer, Manager,0,,
12,, Junior Officer, Senior Officer, Senior Officer,0,,
12,, Manager, Manager, Manager,0,,
12,, Manager, Manager, Senior Manager,0,,
12,, Manager, Manager,Resigned,0,,
12,, Manager, Senior Manager, Director,0,,
12,, Manager, Senior Manager, Senior Manager,0,,
12,, Senior Manager, Director, Director,0,,
12,, Senior Manager, Senior Manager, Director,0,,
12,, Senior Manager, Senior Manager, Senior Manager,0,,
12,, Senior Manager, Senior Manager,Resigned,0,,
12,, Senior Officer, Manager, Manager,0,,
12,, Senior Officer, Manager, Senior Manager,0,,
12,, Senior Officer, Senior Officer, Manager,0,,
12,, Senior Officer, Senior Officer, Senior Officer,0,,
12,, Senior Officer, Senior Officer,Resigned,0,,
12,,Newly Hired, Director, Director,0,,
12,,Newly Hired, Executive, Executive,0,,
12,,Newly Hired, Junior Officer, Junior Officer,0,,
12,,Newly Hired, Manager, Manager,0,,
12,,Newly Hired, Senior Manager, Senior Manager,0,,
12,,Newly Hired, Senior Officer, Senior Officer,0,,
13,, Director, Director, Director,0,,
13,, Director, Director, Executive,0,,
13,, Director, Director,Resigned,0,,
13,, Director, Executive, Executive,0,,
13,, Executive, Executive, Executive,0,,
13,, Executive, Executive,Resigned,0,,
13,, Junior Officer, Junior Officer, Junior Officer,0,,
13,, Junior Officer, Junior Officer, Senior Officer,0,,
13,, Junior Officer, Junior Officer,Resigned,0,,
13,, Junior Officer, Senior Officer, Manager,0,,
13,, Junior Officer, Senior Officer, Senior Officer,0,,
13,, Manager, Manager, Manager,0,,
13,, Manager, Manager, Senior Manager,0,,
13,, Manager, Manager,Resigned,0,,
13,, Manager, Senior Manager, Director,0,,
13,, Manager, Senior Manager, Senior Manager,0,,
13,, Senior Manager, Director, Director,0,,
13,, Senior Manager, Senior Manager, Director,0,,
13,, Senior Manager, Senior Manager, Senior Manager,0,,
13,, Senior Manager, Senior Manager,Resigned,0,,
13,, Senior Officer, Manager, Manager,0,,
13,, Senior Officer, Manager, Senior Manager,0,,
13,, Senior Officer, Senior Officer, Manager,0,,
13,1, Senior Officer, Senior Officer, Senior Officer,0,3,2
13,, Senior Officer, Senior Officer,Resigned,0,,
13,,Newly Hired, Director, Director,0,,
13,,Newly Hired, Executive, Executive,0,,
13,,Newly Hired, Junior Officer, Junior Officer,0,,
13,,Newly Hired, Manager, Manager,0,,
13,,Newly Hired, Senior Manager, Senior Manager,0,,
13,,Newly Hired, Senior Officer, Senior Officer,0,,
14,, Director, Director, Director,0,,
14,, Director, Director, Executive,0,,
14,, Director, Director,Resigned,0,,
14,, Director, Executive, Executive,0,,
14,, Executive, Executive, Executive,0,,
14,, Executive, Executive,Resigned,0,,
14,1, Junior Officer, Junior Officer, Junior Officer,0,2,2
14,, Junior Officer, Junior Officer, Senior Officer,0,,
14,, Junior Officer, Junior Officer,Resigned,0,,
14,, Junior Officer, Senior Officer, Manager,0,,
14,, Junior Officer, Senior Officer, Senior Officer,0,,
14,, Manager, Manager, Manager,0,,
14,, Manager, Manager, Senior Manager,0,,
14,, Manager, Manager,Resigned,0,,
14,, Manager, Senior Manager, Director,0,,
14,, Manager, Senior Manager, Senior Manager,0,,
14,, Senior Manager, Director, Director,0,,
14,, Senior Manager, Senior Manager, Director,0,,
14,, Senior Manager, Senior Manager, Senior Manager,0,,
14,, Senior Manager, Senior Manager,Resigned,0,,
14,, Senior Officer, Manager, Manager,0,,
14,, Senior Officer, Manager, Senior Manager,0,,
14,, Senior Officer, Senior Officer, Manager,0,,
14,, Senior Officer, Senior Officer, Senior Officer,0,,
14,, Senior Officer, Senior Officer,Resigned,0,,
14,,Newly Hired, Director, Director,0,,
14,,Newly Hired, Executive, Executive,0,,
14,,Newly Hired, Junior Officer, Junior Officer,0,,
14,,Newly Hired, Manager, Manager,0,,
14,,Newly Hired, Senior Manager, Senior Manager,0,,
14,,Newly Hired, Senior Officer, Senior Officer,0,,
15,, Director, Director, Director,0,,
15,, Director, Director, Executive,0,,
15,, Director, Director,Resigned,0,,
15,, Director, Executive, Executive,0,,
15,, Executive, Executive, Executive,0,,
15,, Executive, Executive,Resigned,0,,
15,, Junior Officer, Junior Officer, Junior Officer,0,,
15,, Junior Officer, Junior Officer, Senior Officer,0,,
15,1, Junior Officer, Junior Officer,Resigned,0,,3
15,, Junior Officer, Senior Officer, Manager,0,,
15,, Junior Officer, Senior Officer, Senior Officer,0,,
15,, Manager, Manager, Manager,0,,
15,, Manager, Manager, Senior Manager,0,,
15,, Manager, Manager,Resigned,0,,
15,, Manager, Senior Manager, Director,0,,
15,, Manager, Senior Manager, Senior Manager,0,,
15,, Senior Manager, Director, Director,0,,
15,, Senior Manager, Senior Manager, Director,0,,
15,, Senior Manager, Senior Manager, Senior Manager,0,,
15,, Senior Manager, Senior Manager,Resigned,0,,
15,, Senior Officer, Manager, Manager,0,,
15,, Senior Officer, Manager, Senior Manager,0,,
15,, Senior Officer, Senior Officer, Manager,0,,
15,, Senior Officer, Senior Officer, Senior Officer,0,,
15,, Senior Officer, Senior Officer,Resigned,0,,
15,,Newly Hired, Director, Director,0,,
15,,Newly Hired, Executive, Executive,0,,
15,,Newly Hired, Junior Officer, Junior Officer,0,,
15,,Newly Hired, Manager, Manager,0,,
15,,Newly Hired, Senior Manager, Senior Manager,0,,
15,,Newly Hired, Senior Officer, Senior Officer,0,,
16,, Director, Director, Director,0,,
16,, Director, Director, Executive,0,,
16,, Director, Director,Resigned,0,,
16,, Director, Executive, Executive,0,,
16,, Executive, Executive, Executive,0,,
16,, Executive, Executive,Resigned,0,,
16,, Junior Officer, Junior Officer, Junior Officer,0,,
16,, Junior Officer, Junior Officer, Senior Officer,0,,
16,, Junior Officer, Junior Officer,Resigned,0,,
16,, Junior Officer, Senior Officer, Manager,0,,
16,, Junior Officer, Senior Officer, Senior Officer,0,,
16,1, Manager, Manager, Manager,0,3,3
16,, Manager, Manager, Senior Manager,0,,
16,, Manager, Manager,Resigned,0,,
16,, Manager, Senior Manager, Director,0,,
16,, Manager, Senior Manager, Senior Manager,0,,
16,, Senior Manager, Director, Director,0,,
16,, Senior Manager, Senior Manager, Director,0,,
16,, Senior Manager, Senior Manager, Senior Manager,0,,
16,, Senior Manager, Senior Manager,Resigned,0,,
16,, Senior Officer, Manager, Manager,0,,
16,, Senior Officer, Manager, Senior Manager,0,,
16,, Senior Officer, Senior Officer, Manager,0,,
16,, Senior Officer, Senior Officer, Senior Officer,0,,
16,, Senior Officer, Senior Officer,Resigned,0,,
16,,Newly Hired, Director, Director,0,,
16,,Newly Hired, Executive, Executive,0,,
16,,Newly Hired, Junior Officer, Junior Officer,0,,
16,,Newly Hired, Manager, Manager,0,,
16,,Newly Hired, Senior Manager, Senior Manager,0,,
